Document,Document|urn:iso:std:iso:20022:tech:xsd:pacs.002.001.10
Document/FIToFIPmtStsRpt/GrpHdr/MsgId|FEDNOW,Document
Document/FIToFIPmtStsRpt/GrpHdr/CreDtTm|Date,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlGrpInf/OrgnlMsgId,Document/FIToFICstmrCdtTrf/GrpHdr/MsgId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlGrpInf/OrgnlMsgNmId|pacs.008.001.10,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlGrpInf/OrgnlCreDtTm,Document/FIToFICstmrCdtTrf/GrpHdr/CreDtTm
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlInstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlEndToEndId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlTxId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/TxId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlUETR,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/UETR
Document/FIToFIPmtStsRpt/TxInfAndSts/TxSts|,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Nm|str1234,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC|A123FDU3O23,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/LEI|AB123456789876543212,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/Othr/Id|123456789,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/Othr/SchmeNm/Cd|G001,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/Othr/Issr|testfilepac,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/CtctDtls/Nm|str1234,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/CtctDtls/PhneNb|+91-123-123-123,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/CtctDtls/MobNb|+91-123-123-123,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/CtctDtls/EmailAdr|str1234,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/CtctDtls/Dept|str1234,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/CtctDtls/PrefrdMtd|CELL,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Rsn/Cd|AC03,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/AddtlInf|str1234,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/AccptncDtTm|2022-09-08T12:12:12,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/FctvIntrBkSttlmDt/Dt|2022-09-08,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/InstgAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd|USABA,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/InstgAgt/FinInstnId/ClrSysMmbId/MmbId|199999999,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/InstdAgt/FinInstnId/ClrSysMmbId/ClrSysId/Cd|USABA,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/InstdAgt/FinInstnId/ClrSysMmbId/MmbId|199999999,Document
