Document,Document|urn:iso:std:iso:20022:tech:xsd:pacs.002.001.10
Document/FIToFIPmtStsRpt/GrpHdr/MsgId|NONREF,Document
Document/FIToFIPmtStsRpt/GrpHdr/CreDtTm|Date,Document
Document/FIToFIPmtStsRpt/GrpHdr/InstgAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/GrpHdr/InstgAgt/FinInstnId/BICFI
Document/FIToFIPmtStsRpt/GrpHdr/InstdAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/GrpHdr/InstdAgt/FinInstnId/BICFI
Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/OrgnlMsgId,Document/FIToFICstmrCdtTrf/GrpHdr/MsgId
Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/OrgnlMsgNmId|pacs.008.001.08,Document
Document/FIToFIPmtStsRpt/OrgnlGrpInfAndSts/GrpSts|ACCP,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsId|Date,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlInstrId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/InstrId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlEndToEndId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/EndToEndId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlTxId,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/TxId
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlUETR,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/PmtId/UETR
Document/FIToFIPmtStsRpt/TxInfAndSts/TxSts|ACCC,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Nm|str1234,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Orgtr/Id/OrgId/AnyBIC|A123FDU3O23,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/StsRsnInf/Rsn/Cd|ACCP,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/AccptncDtTm,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/AccptncDtTm
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlTxRef/PmtTpInf/SvcLvl/Cd|SEPA,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlTxRef/PmtTpInf/LclInstrm/Cd|INST,Document
Document/FIToFIPmtStsRpt/TxInfAndSts/OrgnlTxRef/DbtrAgt/FinInstnId/BICFI,Document/FIToFICstmrCdtTrf/CdtTrfTxInf/DbtrAgt/FinInstnId/BICFI
